,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,VEDL,EQ,N,119.4,109.0,117.55,110.95,111.15,114.0,32732879,3791120233.2,195.1,109.0,114317,INE205A01025,2020-03-02,115.82
996,VEDL,EQ,N,121.0,113.65,114.25,119.55,120.2,110.95,36975433,4336032298.35,195.1,109.0,140421,INE205A01025,2020-03-03,117.27
1000,VEDL,EQ,N,120.0,115.1,119.0,119.35,119.3,119.55,38623129,4535999186.75,195.1,109.0,128090,INE205A01025,2020-03-04,117.44
1005,VEDL,EQ,N,122.2,116.0,118.5,117.1,117.05,119.35,26357440,3109739343.3,195.1,109.0,83865,INE205A01025,2020-03-05,117.98
1006,VEDL,EQ,N,113.4,108.1,111.7,111.05,111.2,117.1,16482554,1839043310.3,195.1,108.1,64906,INE205A01025,2020-03-06,111.58
1007,VEDL,EQ,N,105.45,93.4,104.0,94.9,94.1,111.05,38812756,3810440944.7,195.1,93.4,168779,INE205A01025,2020-03-09,98.17
1008,VEDL,EQ,N,95.5,91.25,92.0,92.0,91.35,94.9,33275612,3105866700.6,195.1,91.25,119713,INE205A01025,2020-03-11,93.34
1009,VEDL,EQ,N,85.5,78.25,84.75,79.85,80.4,92.0,38860033,3187905925.25,195.1,78.25,149165,INE205A01025,2020-03-12,82.04
1010,VEDL,EQ,N,86.6,68.9,73.15,84.05,85.2,79.85,45056264,3569607059.65,195.1,68.9,179642,INE205A01025,2020-03-13,79.23
1011,VEDL,EQ,N,80.7,74.25,78.0,74.85,74.9,84.05,33777113,2610199594.25,195.1,68.9,149270,INE205A01025,2020-03-16,77.28
1012,VEDL,EQ,N,80.45,74.4,76.55,75.0,75.05,74.85,32830615,2546968314.3,195.1,68.9,116885,INE205A01025,2020-03-17,77.58
1013,VEDL,EQ,N,78.65,72.1,78.0,72.95,73.6,75.0,30564821,2306942217.7,195.1,68.9,120299,INE205A01025,2020-03-18,75.48
1014,VEDL,EQ,N,73.65,67.8,69.45,69.35,69.7,72.95,31319910,2216096658.45,195.1,67.8,120150,INE205A01025,2020-03-19,70.76
1015,VEDL,EQ,N,78.0,70.4,72.4,75.45,76.0,69.35,29770505,2166576538.45,195.1,67.8,135347,INE205A01025,2020-03-20,72.78
1016,VEDL,EQ,N,71.3,61.65,67.95,62.65,63.0,75.45,22554580,1472079953.95,195.1,61.65,121239,INE205A01025,2020-03-23,65.27
1017,VEDL,EQ,N,68.45,62.35,67.5,62.8,63.5,62.65,30625806,1975267873.75,195.1,61.65,115223,INE205A01025,2020-03-24,64.5
1018,VEDL,EQ,N,65.0,62.35,62.7,64.2,64.2,62.8,29906847,1911508969.2,195.1,61.65,86458,INE205A01025,2020-03-25,63.92
1019,VEDL,EQ,N,69.2,63.5,65.6,65.8,65.85,64.2,29684035,1980594054.4,195.1,61.65,114668,INE205A01025,2020-03-26,66.72
1020,VEDL,EQ,N,68.85,63.0,68.55,63.75,63.8,65.8,26206043,1710452543.75,195.1,61.65,99533,INE205A01025,2020-03-27,65.27
1021,VEDL,EQ,N,62.9,60.2,61.8,61.55,61.9,63.75,17613254,1088610444.45,195.1,60.2,79720,INE205A01025,2020-03-30,61.81
1022,VEDL,EQ,N,67.0,62.6,63.45,64.7,64.9,61.55,44630391,2910056510.6,195.1,60.2,142087,INE205A01025,2020-03-31,65.2
1023,VEDL,EQ,N,65.4,62.35,65.0,62.65,63.0,64.7,23338192,1477124032.8,195.1,60.2,92556,INE205A01025,2020-04-01,63.29
1024,VEDL,EQ,N,64.45,62.2,64.0,62.8,62.8,62.65,24226287,1521651576.1,195.1,60.2,77561,INE205A01025,2020-04-03,62.81
1025,VEDL,EQ,N,67.7,65.1,66.3,66.75,66.45,62.8,45746171,3041665821.9,195.1,60.2,124903,INE205A01025,2020-04-07,66.49
1026,VEDL,EQ,N,73.4,65.0,65.95,70.3,70.4,66.75,49394737,3453383378.5,195.1,60.2,163600,INE205A01025,2020-04-08,69.91
1027,VEDL,EQ,N,77.3,72.8,73.0,76.8,77.3,70.3,41602363,3122603213.3,195.1,60.2,146666,INE205A01025,2020-04-09,75.06
968,VEDL,EQ,N,79.45,73.65,77.6,78.3,78.0,76.8,37471015,2876463073.25,189.75,60.2,116695,INE205A01025,2020-04-13,76.77
969,VEDL,EQ,N,83.2,77.6,79.5,78.6,79.15,78.3,43610924,3502227247.85,189.75,60.2,154487,INE205A01025,2020-04-15,80.31
970,VEDL,EQ,N,84.65,77.15,77.8,82.7,82.65,78.6,54489625,4520205147.6,189.75,60.2,175839,INE205A01025,2020-04-16,82.96
971,VEDL,EQ,N,87.0,82.85,87.0,84.1,84.4,82.7,30176554,2538828689.4,189.75,60.2,109316,INE205A01025,2020-04-17,84.13
972,VEDL,EQ,N,86.45,80.8,86.45,81.45,81.5,84.1,33264777,2788217152.95,180.0,60.2,125591,INE205A01025,2020-04-20,83.82
973,VEDL,EQ,N,79.5,73.8,77.4,78.45,77.9,81.45,44069545,3382685036.95,180.0,60.2,163128,INE205A01025,2020-04-21,76.76
974,VEDL,EQ,N,77.2,73.35,75.95,76.1,76.45,78.45,37108747,2787121669.1,180.0,60.2,128903,INE205A01025,2020-04-22,75.11
975,VEDL,EQ,N,78.55,76.6,77.75,77.6,77.55,76.1,24258405,1884609967.15,180.0,60.2,91607,INE205A01025,2020-04-23,77.69
976,VEDL,EQ,N,80.25,75.7,76.8,77.95,78.3,77.6,33734788,2658515445.55,180.0,60.2,111054,INE205A01025,2020-04-24,78.81
977,VEDL,EQ,N,79.9,78.15,78.8,78.45,78.45,77.95,16789673,1325367242.3,180.0,60.2,61060,INE205A01025,2020-04-27,78.94
978,VEDL,EQ,N,78.8,75.8,78.5,76.85,76.8,78.45,33514515,2571331206.4,180.0,60.2,111932,INE205A01025,2020-04-28,76.72
979,VEDL,EQ,N,79.95,77.0,77.05,79.15,79.25,76.85,27243902,2150421964.75,180.0,60.2,101105,INE205A01025,2020-04-29,78.93
980,VEDL,EQ,N,91.0,81.5,82.0,89.55,88.8,79.15,63687038,5460503372.9,180.0,60.2,217388,INE205A01025,2020-04-30,85.74
981,VEDL,EQ,N,83.7,77.4,82.65,79.95,80.2,89.55,33175416,2682744654.3,180.0,60.2,149422,INE205A01025,2020-05-04,80.87
982,VEDL,EQ,N,83.2,78.5,81.8,78.9,79.05,79.95,29105785,2352696449.55,180.0,60.2,106141,INE205A01025,2020-05-05,80.83
983,VEDL,EQ,N,80.9,77.95,79.7,79.45,79.3,78.9,20997197,1672557935.45,180.0,60.2,70335,INE205A01025,2020-05-06,79.66
984,VEDL,EQ,N,80.6,78.05,78.9,78.55,78.8,79.45,15605038,1236143146.05,180.0,60.2,58156,INE205A01025,2020-05-07,79.21
985,VEDL,EQ,N,80.8,77.05,80.6,77.4,77.4,78.55,15998934,1260292442.7,180.0,60.2,62625,INE205A01025,2020-05-08,78.77
986,VEDL,EQ,N,80.5,78.0,78.85,79.6,80.35,77.4,33344596,2645834649.35,180.0,60.2,98708,INE205A01025,2020-05-11,79.35
987,VEDL,EQ,N,90.5,79.05,79.45,89.05,89.5,79.6,112770254,9600205584.05,180.0,60.2,323785,INE205A01025,2020-05-12,85.13
988,VEDL,EQ,N,97.95,88.5,97.95,90.25,90.1,89.05,145841554,13354004569.3,180.0,60.2,430280,INE205A01025,2020-05-13,91.57
989,VEDL,EQ,N,91.8,87.75,88.4,89.15,89.2,90.25,38572778,3467527176.45,180.0,60.2,123277,INE205A01025,2020-05-14,89.9
990,VEDL,EQ,N,95.55,88.2,90.0,92.95,92.6,89.15,75496782,6981910632.2,180.0,60.2,225249,INE205A01025,2020-05-15,92.48
991,VEDL,EQ,N,95.65,90.1,93.95,92.5,92.45,92.95,88008676,8220144867.55,180.0,60.2,263816,INE205A01025,2020-05-18,93.4
992,VEDL,EQ,N,93.8,89.55,93.25,90.0,90.05,92.5,36133110,3296014759.75,180.0,60.2,111226,INE205A01025,2020-05-19,91.22
993,VEDL,EQ,N,90.55,88.25,90.05,88.55,88.55,90.0,21380770,1903846242.6,180.0,60.2,78459,INE205A01025,2020-05-20,89.04
941,VEDL,EQ,N,91.75,88.15,89.0,90.2,90.2,88.55,31501740,2833367835.1,180.0,60.2,112629,INE205A01025,2020-05-21,89.94
942,VEDL,EQ,N,90.4,88.6,90.0,89.1,89.0,90.2,15805466,1410360060.4,180.0,60.2,67856,INE205A01025,2020-05-22,89.23
943,VEDL,EQ,N,90.25,87.55,89.5,87.9,87.85,89.1,17958373,1595684420.0,180.0,60.2,58576,INE205A01025,2020-05-26,88.85
944,VEDL,EQ,N,88.95,86.25,88.5,87.9,87.95,87.9,17368769,1523906555.2,180.0,60.2,60588,INE205A01025,2020-05-27,87.74
945,VEDL,EQ,N,90.95,88.05,88.9,89.95,90.15,87.9,22037867,1974391720.45,180.0,60.2,80171,INE205A01025,2020-05-28,89.59
946,VEDL,EQ,N,92.7,89.0,89.6,92.2,91.85,89.95,34104166,3124435986.95,180.0,60.2,105462,INE205A01025,2020-05-29,91.61
947,VEDL,EQ,N,97.05,92.75,93.3,93.65,93.75,92.2,23682719,2248600132.55,180.0,60.2,113889,INE205A01025,2020-06-01,94.95
948,VEDL,EQ,N,97.25,93.35,94.5,96.9,96.55,93.65,22601994,2164927369.0,180.0,60.2,92270,INE205A01025,2020-06-02,95.78
949,VEDL,EQ,N,102.5,95.9,97.5,96.7,97.35,96.9,37933329,3763429068.8,180.0,60.2,138069,INE205A01025,2020-06-03,99.21
950,VEDL,EQ,N,105.2,96.1,96.95,104.4,104.15,96.7,55983342,5695102972.4,180.0,60.2,192343,INE205A01025,2020-06-04,101.73
951,VEDL,EQ,N,106.25,102.9,105.1,105.3,105.5,104.4,33224183,3466212612.45,180.0,60.2,126724,INE205A01025,2020-06-05,104.33
952,VEDL,EQ,N,111.15,102.0,102.0,105.1,105.1,105.3,54422398,5811552329.3,180.0,60.2,199021,INE205A01025,2020-06-08,106.79
953,VEDL,EQ,N,108.25,103.7,105.1,104.6,104.2,105.1,23311112,2466548576.5,180.0,60.2,96394,INE205A01025,2020-06-09,105.81
954,VEDL,EQ,N,108.75,104.3,104.6,106.1,106.35,104.6,29455782,3147419695.0,180.0,60.2,125410,INE205A01025,2020-06-10,106.85
955,VEDL,EQ,N,106.7,100.0,104.9,101.05,102.6,106.1,21080028,2187222894.6,180.0,60.2,96831,INE205A01025,2020-06-11,103.76
956,VEDL,EQ,N,103.95,96.9,96.9,103.3,102.5,101.05,33223448,3387511138.9,180.0,60.2,124274,INE205A01025,2020-06-12,101.96
957,VEDL,EQ,N,105.3,101.5,104.0,102.4,102.4,103.3,20562556,2121400773.25,180.0,60.2,89137,INE205A01025,2020-06-15,103.17
958,VEDL,EQ,N,105.9,101.65,105.0,103.85,103.95,102.4,22657943,2358557570.0,180.0,60.2,76290,INE205A01025,2020-06-16,104.09
959,VEDL,EQ,N,104.15,101.8,103.8,102.1,102.15,103.85,11401300,1173835407.55,180.0,60.2,44371,INE205A01025,2020-06-17,102.96
960,VEDL,EQ,N,107.8,102.0,102.8,107.0,106.9,102.1,27586795,2919870222.35,180.0,60.2,97625,INE205A01025,2020-06-18,105.84
961,VEDL,EQ,N,109.4,104.45,108.45,105.25,105.65,107.0,33760231,3587613346.75,180.0,60.2,105942,INE205A01025,2020-06-19,106.27
962,VEDL,EQ,N,111.7,104.75,105.35,110.05,110.0,105.25,27109192,2940950208.7,180.0,60.2,108419,INE205A01025,2020-06-22,108.49
963,VEDL,EQ,N,111.9,109.05,110.05,110.0,109.9,110.05,20720200,2286160929.8,180.0,60.2,83731,INE205A01025,2020-06-23,110.33
