,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,WIPRO,EQ,N,227.0,218.4,225.8,220.8,220.65,221.45,5766175,1289195929.0,374.65,218.4,65848,INE075A01022,2020-03-02,223.58
996,WIPRO,EQ,N,225.8,220.6,224.0,223.7,223.25,220.8,5173113,1154103726.05,374.65,218.4,41834,INE075A01022,2020-03-03,223.1
1001,WIPRO,EQ,N,229.75,222.45,224.9,228.85,228.9,223.7,4518178,1018974224.15,374.65,218.4,81745,INE075A01022,2020-03-04,225.53
1007,WIPRO,EQ,N,233.9,228.65,229.05,229.7,230.3,228.85,2970778,687112891.25,374.65,218.4,42428,INE075A01022,2020-03-05,231.29
1008,WIPRO,EQ,N,226.0,222.55,225.0,223.55,223.25,229.7,2934283,657818198.6,374.65,218.4,30480,INE075A01022,2020-03-06,224.18
1009,WIPRO,EQ,N,221.0,213.0,220.2,214.4,215.0,223.55,8731114,1879529836.9,301.6,213.0,67373,INE075A01022,2020-03-09,215.27
1010,WIPRO,EQ,N,214.4,203.7,203.7,213.1,212.95,214.4,6135166,1298193543.4,301.6,203.7,73294,INE075A01022,2020-03-11,211.6
1011,WIPRO,EQ,N,206.95,197.5,204.0,199.1,200.0,213.1,5382005,1091585740.5,301.6,197.5,63340,INE075A01022,2020-03-12,202.82
1012,WIPRO,EQ,N,204.45,169.25,199.0,197.4,199.0,199.1,6521699,1258410025.25,301.6,169.25,76155,INE075A01022,2020-03-13,192.96
1013,WIPRO,EQ,N,193.95,178.55,193.95,179.75,180.0,197.4,5600578,1034524025.3,301.6,169.25,91089,INE075A01022,2020-03-16,184.72
1014,WIPRO,EQ,N,185.55,170.75,178.55,173.1,173.2,179.75,6087886,1091565835.05,301.6,169.25,53650,INE075A01022,2020-03-17,179.3
1015,WIPRO,EQ,N,178.5,168.5,176.7,169.95,171.9,173.1,6367196,1102614407.8,301.6,168.5,65169,INE075A01022,2020-03-18,173.17
1016,WIPRO,EQ,N,171.35,159.4,165.0,162.35,161.8,169.95,5990642,997069281.45,301.6,159.4,69150,INE075A01022,2020-03-19,166.44
1017,WIPRO,EQ,N,185.8,162.5,163.1,179.2,178.0,162.35,10160070,1795536401.65,301.6,159.4,86219,INE075A01022,2020-03-20,176.72
1018,WIPRO,EQ,N,177.0,165.0,165.0,170.15,171.5,179.2,5360393,927343313.45,301.6,159.4,56816,INE075A01022,2020-03-23,173.0
1019,WIPRO,EQ,N,181.75,168.05,168.5,176.35,178.25,170.15,6037867,1067378793.5,301.6,159.4,78461,INE075A01022,2020-03-24,176.78
1020,WIPRO,EQ,N,188.0,170.2,177.4,174.65,172.5,176.35,6728276,1183853668.2,301.6,159.4,81762,INE075A01022,2020-03-25,175.95
1021,WIPRO,EQ,N,186.8,172.5,176.95,182.6,180.6,174.65,5124357,923251037.3,301.6,159.4,46356,INE075A01022,2020-03-26,180.17
1022,WIPRO,EQ,N,189.5,181.5,183.15,183.5,184.65,182.6,6767560,1253023967.65,301.6,159.4,40065,INE075A01022,2020-03-27,185.15
1023,WIPRO,EQ,N,187.4,179.35,181.1,184.15,185.25,183.5,3667803,676692029.25,301.6,159.4,47445,INE075A01022,2020-03-30,184.5
1024,WIPRO,EQ,N,199.8,185.65,187.0,196.7,196.1,184.15,5307678,1034656565.35,301.6,159.4,62061,INE075A01022,2020-03-31,194.94
1025,WIPRO,EQ,N,195.7,187.0,195.7,189.5,188.65,196.7,4937836,938489498.35,301.6,159.4,63336,INE075A01022,2020-04-01,190.06
1026,WIPRO,EQ,N,189.6,177.75,188.0,180.0,180.15,189.5,6573737,1191349404.15,301.6,159.4,79843,INE075A01022,2020-04-03,181.23
1027,WIPRO,EQ,N,192.7,183.05,188.25,191.9,191.95,180.0,4781444,906101475.25,301.6,159.4,56566,INE075A01022,2020-04-07,189.5
1028,WIPRO,EQ,N,200.0,188.8,191.5,192.9,193.0,191.9,5137654,1001741684.35,301.6,159.4,53517,INE075A01022,2020-04-08,194.98
1029,WIPRO,EQ,N,202.95,195.05,198.4,196.7,196.6,192.9,3465831,684832185.95,301.6,159.4,36684,INE075A01022,2020-04-09,197.6
968,WIPRO,EQ,N,198.0,182.9,198.0,189.2,189.6,196.7,6193223,1170801308.15,301.6,159.4,69489,INE075A01022,2020-04-13,189.05
969,WIPRO,EQ,N,193.6,185.8,190.05,186.55,186.45,189.2,11326600,2145934350.4,301.6,159.4,112441,INE075A01022,2020-04-15,189.46
970,WIPRO,EQ,N,189.75,180.0,180.0,187.85,189.0,186.55,21690456,4032251772.2,301.6,159.4,150354,INE075A01022,2020-04-16,185.9
971,WIPRO,EQ,N,193.75,185.55,192.5,187.0,187.2,187.85,6606453,1243751579.15,301.6,159.4,96023,INE075A01022,2020-04-17,188.26
972,WIPRO,EQ,N,189.0,180.15,189.0,181.1,180.55,187.0,8101663,1485310274.95,301.6,159.4,79381,INE075A01022,2020-04-20,183.33
973,WIPRO,EQ,N,179.9,173.8,179.0,178.05,178.3,181.1,9043319,1600479912.5,301.6,159.4,75722,INE075A01022,2020-04-21,176.98
974,WIPRO,EQ,N,179.5,175.05,177.0,178.55,178.3,178.05,5311640,943280894.55,301.6,159.4,62150,INE075A01022,2020-04-22,177.59
975,WIPRO,EQ,N,182.6,177.1,179.4,180.9,181.0,178.55,5555420,1001236515.5,301.6,159.4,54314,INE075A01022,2020-04-23,180.23
976,WIPRO,EQ,N,180.8,177.15,179.95,177.75,178.2,180.9,4641140,826673995.7,301.6,159.4,50379,INE075A01022,2020-04-24,178.12
977,WIPRO,EQ,N,182.9,175.5,180.0,182.05,182.4,177.75,9141635,1640288478.0,301.6,159.4,84011,INE075A01022,2020-04-27,179.43
978,WIPRO,EQ,N,182.95,178.0,182.1,179.7,180.35,182.05,6664917,1196286572.25,301.6,159.4,51736,INE075A01022,2020-04-28,179.49
979,WIPRO,EQ,N,182.45,179.4,180.1,180.65,180.8,179.7,5030900,910110030.6,301.6,159.4,50928,INE075A01022,2020-04-29,180.9
980,WIPRO,EQ,N,192.6,183.55,185.0,190.95,191.15,180.65,8833932,1662419830.85,301.6,159.4,83434,INE075A01022,2020-04-30,188.19
981,WIPRO,EQ,N,191.3,183.05,184.5,190.05,190.3,190.95,8570375,1615634269.45,301.6,159.4,72943,INE075A01022,2020-05-04,188.51
982,WIPRO,EQ,N,194.0,182.2,191.45,184.2,185.85,190.05,6932589,1298557823.45,301.6,159.4,59026,INE075A01022,2020-05-05,187.31
983,WIPRO,EQ,N,188.0,181.0,185.7,187.05,186.95,184.2,5442793,1011872178.9,301.6,159.4,54797,INE075A01022,2020-05-06,185.91
984,WIPRO,EQ,N,185.4,181.2,184.0,184.1,184.25,187.05,5701094,1046832104.55,301.6,159.4,66725,INE075A01022,2020-05-07,183.62
985,WIPRO,EQ,N,186.0,182.55,185.2,184.0,183.85,184.1,4113747,757908000.35,301.6,159.4,52916,INE075A01022,2020-05-08,184.24
986,WIPRO,EQ,N,189.95,184.1,185.0,184.7,184.95,184.0,4393928,821993995.95,301.6,159.4,37691,INE075A01022,2020-05-11,187.07
987,WIPRO,EQ,N,188.0,182.6,184.2,187.05,186.5,184.7,3515679,653261536.2,301.6,159.4,47880,INE075A01022,2020-05-12,185.81
988,WIPRO,EQ,N,191.5,185.15,191.5,189.7,190.3,187.05,5280548,995524952.7,301.6,159.4,56504,INE075A01022,2020-05-13,188.53
989,WIPRO,EQ,N,187.35,183.1,184.75,186.0,185.7,189.7,5162330,957557788.8,301.6,159.4,51701,INE075A01022,2020-05-14,185.49
990,WIPRO,EQ,N,186.0,182.65,186.0,183.8,183.6,186.0,3425171,631883825.1,301.6,159.4,35083,INE075A01022,2020-05-15,184.48
991,WIPRO,EQ,N,185.0,179.6,182.05,182.2,182.25,183.8,7227687,1317989565.75,301.6,159.4,52137,INE075A01022,2020-05-18,182.35
992,WIPRO,EQ,N,186.0,178.0,182.25,184.4,184.8,182.2,5743344,1051111542.25,301.6,159.4,59514,INE075A01022,2020-05-19,183.01
993,WIPRO,EQ,N,185.9,182.2,185.0,184.95,185.0,184.4,7707953,1419320421.5,301.6,159.4,58552,INE075A01022,2020-05-20,184.14
941,WIPRO,EQ,N,191.7,183.4,183.4,189.1,189.05,184.95,7129397,1345314993.45,301.6,159.4,52137,INE075A01022,2020-05-21,188.7
942,WIPRO,EQ,N,190.85,186.45,189.05,189.0,189.5,189.1,4588831,866035350.6,301.6,159.4,35230,INE075A01022,2020-05-22,188.73
943,WIPRO,EQ,N,193.2,185.7,189.0,188.8,189.6,189.0,5911144,1123421413.65,301.6,159.4,63196,INE075A01022,2020-05-26,190.05
944,WIPRO,EQ,N,205.5,187.7,189.6,201.25,201.8,188.8,18083494,3535790761.1,301.6,159.4,106522,INE075A01022,2020-05-27,195.53
945,WIPRO,EQ,N,203.5,196.05,203.5,199.35,199.4,201.25,12347801,2454887720.2,301.6,159.4,101956,INE075A01022,2020-05-28,198.81
946,WIPRO,EQ,N,214.9,196.15,199.35,212.8,211.9,199.35,30630218,6385618888.8,301.6,159.4,205122,INE075A01022,2020-05-29,208.47
