,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,YESBANK,EQ,N,35.55,29.8,35.2,31.55,32.3,34.6,127750922,4298331619.45,286.0,29.0,213681,INE528G01027,2020-03-02,33.65
996,YESBANK,EQ,N,33.3,30.5,32.45,31.2,31.4,31.55,164268356,5220185379.05,286.0,29.0,243059,INE528G01027,2020-03-03,31.78
1001,YESBANK,EQ,N,31.7,28.7,31.5,29.3,29.3,31.2,202851281,6039624533.0,286.0,28.7,311010,INE528G01027,2020-03-04,29.77
1007,YESBANK,EQ,N,37.85,28.0,29.4,36.8,37.2,29.3,784703310,27321714941.85,286.0,28.0,1215263,INE528G01027,2020-03-05,34.82
1008,YESBANK,EQ,N,33.15,5.65,33.15,16.15,16.6,36.8,1264917719,18659965778.1,286.0,5.65,1657599,INE528G01027,2020-03-06,14.75
1009,YESBANK,EQ,N,22.8,16.2,17.0,21.25,21.35,16.15,727571816,14724650069.9,286.0,5.65,1070599,INE528G01027,2020-03-09,20.24
1010,YESBANK,EQ,N,29.6,23.35,23.35,28.8,29.05,21.25,413676527,11296048426.95,286.0,5.65,680533,INE528G01027,2020-03-11,27.31
1011,YESBANK,EQ,N,28.7,17.45,28.7,25.05,25.05,28.8,337812521,8507438081.05,286.0,5.65,610137,INE528G01027,2020-03-12,25.18
1012,YESBANK,EQ,N,27.7,21.35,22.55,25.55,25.5,25.05,276663954,7033176560.9,286.0,5.65,466852,INE528G01027,2020-03-13,25.42
1013,YESBANK,EQ,N,40.4,26.05,26.7,37.1,37.05,25.55,166521851,5988013737.4,286.0,5.65,550545,INE528G01035,2020-03-16,35.96
1014,YESBANK,EQ,N,64.9,40.8,40.8,58.65,59.1,37.1,223463025,12376139125.7,286.0,5.65,784729,INE528G01035,2020-03-17,55.38
1015,YESBANK,EQ,N,87.3,49.9,64.5,60.45,61.65,58.65,364152383,24950278857.1,286.0,5.65,1477010,INE528G01035,2020-03-18,68.52
1016,YESBANK,EQ,N,61.8,42.8,61.65,53.85,53.6,60.45,147327988,7712115650.9,286.0,5.65,683223,INE528G01035,2020-03-19,52.35
1017,YESBANK,EQ,N,67.3,41.25,59.2,45.85,45.95,53.85,118192981,5953098940.75,286.0,5.65,506135,INE528G01035,2020-03-20,50.37
1018,YESBANK,EQ,N,49.5,39.25,41.3,39.75,39.65,45.85,93894255,4127009952.8,286.0,5.65,338588,INE528G01035,2020-03-23,43.95
1019,YESBANK,EQ,N,43.7,34.55,43.65,35.0,35.2,39.75,79664287,2925534354.85,286.0,5.65,306641,INE528G01035,2020-03-24,36.72
1020,YESBANK,EQ,N,35.5,28.5,35.3,29.6,29.45,35.0,95160537,2905951408.5,286.0,5.65,320674,INE528G01035,2020-03-25,30.54
