,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
658,ZOMATO,EQ,N,138.9,115.0,116.0,126.0,125.3,76.0,694895290,86252747421.3,138.9,115.0,2428917,INE758T01015,2021-07-23,124.12
659,ZOMATO,EQ,N,143.75,125.3,126.35,140.65,138.05,126.0,249723854,33620324359.75,143.75,115.0,1034160,INE758T01015,2021-07-26,134.63
660,ZOMATO,EQ,N,147.8,127.75,141.7,132.9,130.65,140.65,240341900,33909684267.35,147.8,115.0,1075475,INE758T01015,2021-07-27,141.09
661,ZOMATO,EQ,N,135.0,123.55,131.0,131.2,133.0,132.9,159793731,20437012592.05,147.8,115.0,627048,INE758T01015,2021-07-28,127.9
662,ZOMATO,EQ,N,144.0,132.2,134.95,141.55,142.25,131.2,117973089,16248796568.35,147.8,115.0,489222,INE758T01015,2021-07-29,137.73
663,ZOMATO,EQ,N,142.7,131.0,142.6,133.5,134.45,141.55,88312522,12051493787.8,147.8,115.0,348520,INE758T01015,2021-07-30,136.46
664,ZOMATO,EQ,N,140.75,135.15,135.75,139.7,138.45,133.5,66909732,9242637574.35,147.8,115.0,295910,INE758T01015,2021-08-02,138.14
665,ZOMATO,EQ,N,140.8,137.0,137.0,139.4,138.5,139.7,46610001,6480574826.25,147.8,115.0,189764,INE758T01015,2021-08-03,139.04
632,ZOMATO,EQ,N,141.0,135.25,139.8,138.4,137.1,139.4,41134419,5680017058.8,147.8,115.0,175364,INE758T01015,2021-08-04,138.08
633,ZOMATO,EQ,N,138.9,132.0,138.75,134.95,135.3,138.4,38437134,5169556725.35,147.8,115.0,178897,INE758T01015,2021-08-05,134.49
634,ZOMATO,EQ,N,136.2,130.1,135.5,131.35,131.75,134.95,31975356,4233743397.95,147.8,115.0,146049,INE758T01015,2021-08-06,132.41
635,ZOMATO,EQ,N,133.55,127.25,132.4,130.6,130.7,131.35,41358299,5376808522.4,147.8,115.0,202310,INE758T01015,2021-08-09,130.01
636,ZOMATO,EQ,N,131.45,122.1,131.0,125.2,125.0,130.6,43164004,5473995627.6,147.8,115.0,223169,INE758T01015,2021-08-10,126.82
637,ZOMATO,EQ,N,138.75,123.0,123.0,135.65,136.9,125.2,111702781,14697764219.9,147.8,115.0,387786,INE758T01015,2021-08-11,131.58
638,ZOMATO,EQ,N,137.4,132.05,135.65,135.45,134.25,135.65,51256670,6904960638.95,147.8,115.0,177700,INE758T01015,2021-08-12,134.71
639,ZOMATO,EQ,N,139.75,132.1,133.85,137.35,138.25,135.45,33674300,4560927903.5,147.8,115.0,133386,INE758T01015,2021-08-13,135.44
640,ZOMATO,EQ,N,136.9,132.25,136.4,134.95,132.8,137.35,20305361,2746421817.3,147.8,115.0,115022,INE758T01015,2021-08-16,135.26
641,ZOMATO,EQ,N,134.35,130.6,132.8,132.5,132.3,134.95,15815187,2105923272.0,147.8,115.0,68974,INE758T01015,2021-08-17,133.16
642,ZOMATO,EQ,N,136.8,133.3,134.5,134.95,134.5,132.5,22566920,3053669303.25,147.8,115.0,106963,INE758T01015,2021-08-18,135.32
643,ZOMATO,EQ,N,141.45,133.0,134.95,139.3,137.45,134.95,53789580,7451823346.85,147.8,115.0,230402,INE758T01015,2021-08-20,138.54
644,ZOMATO,EQ,N,137.8,124.75,137.8,127.25,128.15,139.3,68470861,8899291551.25,147.8,115.0,320725,INE758T01015,2021-08-23,129.97
645,ZOMATO,EQ,N,127.95,120.5,127.25,125.0,124.65,127.25,56713556,7025617193.9,147.8,115.0,275805,INE758T01015,2021-08-24,123.88
646,ZOMATO,EQ,N,128.5,123.1,126.0,124.25,123.5,125.0,51078811,6450741288.8,147.8,115.0,205459,INE758T01015,2021-08-25,126.29
647,ZOMATO,EQ,N,127.15,124.35,125.25,125.85,125.4,124.25,20645403,2601297546.65,147.8,115.0,104822,INE758T01015,2021-08-26,126.0
648,ZOMATO,EQ,N,129.5,124.1,126.6,124.7,124.95,125.85,22227595,2811559981.1,147.8,115.0,95008,INE758T01015,2021-08-27,126.49
649,ZOMATO,EQ,N,135.45,127.55,127.85,133.55,133.0,124.7,45239080,5938007438.3,147.8,115.0,177439,INE758T01015,2021-08-30,131.26
650,ZOMATO,EQ,N,135.2,131.35,134.0,134.55,134.0,133.55,24640924,3301626664.75,147.8,115.0,119630,INE758T01015,2021-08-31,133.99
651,ZOMATO,EQ,N,135.1,130.7,134.55,132.6,132.25,134.55,16162269,2146823422.95,147.8,115.0,86621,INE758T01015,2021-09-01,132.83
652,ZOMATO,EQ,N,138.5,131.5,132.0,137.6,136.25,132.6,27882466,3806497287.3,147.8,115.0,146911,INE758T01015,2021-09-02,136.52
653,ZOMATO,EQ,N,151.4,135.6,135.95,149.75,149.0,137.6,113381518,16614744350.75,151.4,115.0,487984,INE758T01015,2021-09-03,146.54
654,ZOMATO,EQ,N,149.35,143.25,149.25,144.05,144.3,149.75,34811620,5067787766.7,151.4,115.0,211668,INE758T01015,2021-09-06,145.58
655,ZOMATO,EQ,N,146.85,138.55,144.9,140.05,139.75,144.05,30421931,4325986118.45,151.4,115.0,165594,INE758T01015,2021-09-07,142.2
656,ZOMATO,EQ,N,143.6,139.05,141.0,141.25,141.4,140.05,28133284,3988690786.05,151.4,115.0,153564,INE758T01015,2021-09-08,141.78
657,ZOMATO,EQ,N,142.9,140.0,141.4,141.6,141.55,141.25,18970691,2685098887.5,151.4,115.0,98680,INE758T01015,2021-09-09,141.54
602,ZOMATO,EQ,N,144.25,142.0,143.25,143.15,142.9,141.6,17426798,2488383993.1,151.4,115.0,131265,INE758T01015,2021-09-13,142.79
603,ZOMATO,EQ,N,152.75,136.2,145.15,144.1,143.0,143.15,112358935,16327385108.0,152.75,115.0,460120,INE758T01015,2021-09-14,145.31
604,ZOMATO,EQ,N,145.0,140.75,142.95,142.65,143.0,144.1,38892545,5556704368.65,152.75,115.0,156718,INE758T01015,2021-09-15,142.87
605,ZOMATO,EQ,N,144.0,141.5,143.0,142.05,142.2,142.65,17634206,2517940423.9,152.75,115.0,127218,INE758T01015,2021-09-16,142.79
606,ZOMATO,EQ,N,146.9,137.15,142.55,137.9,138.2,142.05,23264091,3287088154.5,152.75,115.0,150604,INE758T01015,2021-09-17,141.29
607,ZOMATO,EQ,N,140.85,133.25,137.7,134.3,133.75,137.9,19799941,2718458982.7,152.75,115.0,128576,INE758T01015,2021-09-20,137.3
608,ZOMATO,EQ,N,138.0,131.0,137.2,133.45,133.5,134.3,19330196,2576460688.0,152.75,115.0,129235,INE758T01015,2021-09-21,133.29
609,ZOMATO,EQ,N,135.4,131.3,135.4,132.1,132.1,133.45,16923375,2242705272.85,152.75,115.0,92803,INE758T01015,2021-09-22,132.52
610,ZOMATO,EQ,N,140.4,133.05,134.5,137.3,137.7,132.1,31779169,4366876590.05,152.75,115.0,168734,INE758T01015,2021-09-23,137.41
611,ZOMATO,EQ,N,139.5,136.05,137.55,136.65,136.7,137.3,13099391,1805451017.65,152.75,115.0,78353,INE758T01015,2021-09-24,137.83
612,ZOMATO,EQ,N,144.75,138.0,139.85,143.7,143.55,136.65,26041244,3684998440.15,152.75,115.0,144737,INE758T01015,2021-09-27,141.51
613,ZOMATO,EQ,N,143.9,137.65,143.9,139.0,139.25,143.7,13489232,1891461965.95,152.75,115.0,95078,INE758T01015,2021-09-28,140.22
614,ZOMATO,EQ,N,139.5,136.5,138.0,138.5,138.35,139.0,10801439,1491977916.75,152.75,115.0,83843,INE758T01015,2021-09-29,138.13
615,ZOMATO,EQ,N,139.2,136.15,139.2,136.6,136.8,138.5,7825751,1074356093.1,152.75,115.0,68327,INE758T01015,2021-09-30,137.28
616,ZOMATO,EQ,N,140.5,137.0,137.3,138.0,138.2,136.6,11940576,1658208635.9,152.75,115.0,96250,INE758T01015,2021-10-01,138.87
617,ZOMATO,EQ,N,140.0,138.0,139.1,139.1,138.75,138.0,11995299,1669170566.25,152.75,115.0,101302,INE758T01015,2021-10-04,139.15
