,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,CADILAHC,EQ,N,263.55,247.3,260.05,250.15,250.2,260.05,2160496,552324206.15,352.6,206.5,31029,INE010B01027,2020-03-02,255.65
996,CADILAHC,EQ,N,263.45,240.5,249.3,260.35,260.4,250.15,2447513,611439547.7,352.6,206.5,36596,INE010B01027,2020-03-03,249.82
1000,CADILAHC,EQ,N,263.4,252.1,262.0,255.8,255.85,260.35,2007343,516989572.9,352.6,206.5,22106,INE010B01027,2020-03-04,257.55
1005,CADILAHC,EQ,N,272.75,256.8,256.8,264.05,265.5,255.8,5574983,1480414972.95,352.6,206.5,63100,INE010B01027,2020-03-05,265.55
1006,CADILAHC,EQ,N,268.65,254.6,259.95,266.1,265.0,264.05,2571888,682411918.85,352.6,206.5,26489,INE010B01027,2020-03-06,265.34
1007,CADILAHC,EQ,N,267.25,248.8,264.9,256.2,256.05,266.1,2318161,597332118.65,352.6,206.5,30353,INE010B01027,2020-03-09,257.67
1008,CADILAHC,EQ,N,264.3,254.2,258.55,258.1,258.15,256.2,2942068,763184864.85,352.6,206.5,24499,INE010B01027,2020-03-11,259.4
1009,CADILAHC,EQ,N,252.6,234.5,250.8,236.9,238.0,258.1,2131508,512620557.35,352.6,206.5,22830,INE010B01027,2020-03-12,240.5
1010,CADILAHC,EQ,N,255.0,202.0,219.0,251.55,253.0,236.9,1796888,428860016.75,352.6,202.0,28615,INE010B01027,2020-03-13,238.67
1011,CADILAHC,EQ,N,261.8,236.25,247.0,249.35,252.0,251.55,2973038,749216260.85,352.6,202.0,46086,INE010B01027,2020-03-16,252.0
1012,CADILAHC,EQ,N,268.35,247.1,249.3,262.7,261.5,249.35,2396541,615802565.75,352.6,202.0,24376,INE010B01027,2020-03-17,256.95
